"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000068893",57036.9434287381,0.0280855972537494,0.33518241421216,0.0837919773319973,0.933221826749858,0.999123527598198,"Sprr2a2"
"ENSMUSG00000026417",53944.6600672672,-0.13662608998906,0.266904575203638,-0.511891150179119,0.608727192209501,0.999123527598198,"Pigr"
"ENSMUSG00000000308",54251.6238343874,0.0152018838898886,0.321215250914768,0.0473261585388494,0.962253279937614,0.999123527598198,"Ckmt1"
"ENSMUSG00000026208",51577.0291273907,-0.936383126401809,0.74683262782085,-1.25380586160789,0.209912578151189,0.999123527598198,"Des"
"ENSMUSG00000049350",51378.1112912202,0.260496320571822,0.626402404997092,0.415860984079446,0.67751173075159,0.999123527598198,"Zg16"
"ENSMUSG00000024661",50859.4900437527,-0.0984218582836394,0.151982972852345,-0.647584768454677,0.517253551402581,0.999123527598198,"Fth1"
"ENSMUSG00000064339",48445.2284961013,0.246094552368116,0.687247618536514,0.358087166445438,0.720278082829924,0.999123527598198,"mt-Rnr2"
"ENSMUSG00000074445",50638.4239860564,0.139481645734341,0.32637323966234,0.427368511826049,0.669110938470533,0.999123527598198,"Sprr2a3"
"ENSMUSG00000022824",49717.5684662539,0.20421934375708,0.284175349240276,0.718638489591188,0.472363691704949,0.999123527598198,"Muc13"
"ENSMUSG00000035783",47175.1923565324,-0.555178889647575,0.623055366851309,-0.891058675015101,0.37289769326927,0.999123527598198,"Acta2"
"ENSMUSG00000064368",47016.9788646731,0.545064820717511,0.312142245965827,1.74620650604656,0.0807750747090708,0.999123527598198,"mt-Nd6"
"ENSMUSG00000074227",46635.9094851234,0.103075207030959,0.206957735448041,0.498049550106508,0.61844911802959,0.999123527598198,"Spint2"
"ENSMUSG00000000805",46240.6944266064,0.296246022683482,0.342450608633534,0.865076642338525,0.386996723929811,0.999123527598198,"Car4"
"ENSMUSG00000059430",42955.9286322287,-1.04861829733017,0.774461384967512,-1.35399687793881,0.17573737377031,0.999123527598198,"Actg2"
"ENSMUSG00000034994",42357.3554313935,-0.0183289781759398,0.102707403178104,-0.178458198813144,0.858363146706372,0.999123527598198,"Eef2"
"ENSMUSG00000060126",41394.6286966709,0.121902074486717,0.100224983639287,1.21628430417556,0.223876638542772,0.999123527598198,"Tpt1"
"ENSMUSG00000067274",41709.0108023982,0.174483721231503,0.138900830951598,1.25617478337696,0.209052607202677,0.999123527598198,"Rplp0"
"ENSMUSG00000024610",40969.01840462,-0.425976553981179,0.422620025970092,-1.00794218873889,0.313482216492821,0.999123527598198,"Cd74"
"ENSMUSG00000025515",38637.9434603757,0.0887184149126301,0.478816147582385,0.185287015403684,0.853003921904179,0.999123527598198,"Muc2"
"ENSMUSG00000092274",40028.2707453549,0.284590605514536,0.254037567606434,1.12026976244488,0.262598823343251,0.999123527598198,"Neat1"
"ENSMUSG00000062825",39190.0301276286,0.0189647610252591,0.160267623112902,0.118331829329616,0.90580473840467,0.999123527598198,"Actg1"
"ENSMUSG00000061232",37356.6868094579,-0.035288495251341,0.208616655473364,-0.169154735853996,0.865674932202674,0.999123527598198,"H2-K1"
"ENSMUSG00000030695",37644.7820504019,0.0285589263213376,0.141376312795564,0.202006444761613,0.839911685856016,0.999123527598198,"Aldoa"
"ENSMUSG00000090841",37082.6957526358,-0.065120014916529,0.23476434815973,-0.277384600459958,0.781484804935628,0.999123527598198,"Myl6"
"ENSMUSG00000032518",36844.7079879882,0.208444924797566,0.167971600369304,1.24095337747141,0.214622972483376,0.999123527598198,"Rpsa"
"ENSMUSG00000027401",36561.8742920298,-0.00542757674595977,0.447062174369392,-0.0121405411979121,0.990313487572582,0.999123527598198,"Tgm3"
"ENSMUSG00000047730",35449.7906061758,0.158616022420279,0.578487945058659,0.274190713523331,0.783938064290271,0.999123527598198,"Fcgbp"
