"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000026208",51577.0291273907,-0.0414202802628841,0.746830036508549,-0.0554614547327597,0.955770837328648,0.982604108208299,"Des"
"ENSMUSG00000049350",51378.1112912202,-0.368457471118145,0.626405234904151,-0.588209437896099,0.556391723283227,0.771974813408798,"Zg16"
"ENSMUSG00000024661",50859.4900437527,0.0370412079291144,0.151982465580322,0.243720272517479,0.807447471535631,0.916063100410623,"Fth1"
"ENSMUSG00000064339",48445.2284961013,-0.303284997688526,0.687249676006798,-0.441302496424205,0.658994019076044,0.83634073713278,"mt-Rnr2"
"ENSMUSG00000074445",50638.4239860564,2.00640863483658,0.326357026954092,6.14789469545822,7.85181313373351e-10,1.96140358347277e-07,"Sprr2a3"
"ENSMUSG00000022824",49717.5684662539,1.3001268787558,0.284166320569834,4.57523212514656,4.75692265782817e-06,0.000244743026175794,"Muc13"
"ENSMUSG00000035783",47175.1923565324,0.170505520294739,0.62305291778732,0.273661378395055,0.784344860619787,0.904555168197465,"Acta2"
"ENSMUSG00000064368",47016.9788646731,0.668355087002251,0.312142093927546,2.14118858047191,0.0322588335656397,0.150920146683999,"mt-Nd6"
"ENSMUSG00000074227",46635.9094851234,0.528537668335503,0.206953773973202,2.55389238953402,0.0106526173598364,0.0736489222784027,"Spint2"
"ENSMUSG00000000805",46240.6944266064,0.857822574919524,0.34244755667562,2.50497501937818,0.0122460042118723,0.0809225165201519,"Car4"
"ENSMUSG00000059430",42955.9286322287,-0.124310331877881,0.774458208829223,-0.160512640269906,0.872477265229384,0.94661377660251,"Actg2"
"ENSMUSG00000034994",42357.3554313935,-0.257792456040812,0.102717366366076,-2.50972610728803,0.0120824835915601,0.0802610045436557,"Eef2"
"ENSMUSG00000060126",41394.6286966709,-0.127637639381345,0.100235437032142,-1.27337838952522,0.202883802099087,0.45728944352976,"Tpt1"
"ENSMUSG00000067274",41709.0108023982,0.0982792737353587,0.138904717670557,0.70753013564629,0.479237092017787,0.718482096724438,"Rplp0"
"ENSMUSG00000024610",40969.01840462,0.648411065056328,0.422612898032429,1.53429076129752,0.124958137563268,0.343634617849792,"Cd74"
"ENSMUSG00000025515",38637.9434603757,-0.959432833017807,0.478824792530634,-2.00372421809471,0.0450996105282154,0.186012623479941,"Muc2"
"ENSMUSG00000092274",40028.2707453549,0.883268923225247,0.254031965371762,3.47699913250142,0.000507059458254267,0.00864140378362412,"Neat1"
"ENSMUSG00000062825",39190.0301276286,0.650148769278517,0.160257335026084,4.05690490967354,4.97273158966602e-05,0.00149632909723435,"Actg1"
"ENSMUSG00000061232",37356.6868094579,0.317252352461975,0.208612972525981,1.5207700107071,0.128317562634271,0.349062749192095,"H2-K1"
"ENSMUSG00000030695",37644.7820504019,0.383543635356548,0.141370548539381,2.71303775304872,0.00666695105532378,0.0533384179457741,"Aldoa"
"ENSMUSG00000090841",37082.6957526358,0.375793567033797,0.234759762921636,1.60075799343535,0.109430530812957,0.318836498999998,"Myl6"
"ENSMUSG00000032518",36844.7079879882,0.0828638413151785,0.16797621507,0.493306991591916,0.621795688989165,0.813394277920437,"Rpsa"
"ENSMUSG00000027401",36561.8742920298,-0.488186499081111,0.447066526144199,-1.0919773021066,0.274843077967265,0.540602552342368,"Tgm3"
"ENSMUSG00000047730",35449.7906061758,-0.404175574157753,0.578491973293565,-0.698671015012767,0.484757651952969,0.721758513870889,"Fcgbp"
"ENSMUSG00000018830",34465.9715943634,-0.160956626999557,0.701428081157037,-0.229469893383869,0.818503717956744,0.921229137147782,"Myh11"
"ENSMUSG00000050335",35539.8810158127,0.759194567949229,0.182888405408254,4.15113558595752,3.30829695805216e-05,0.00108103300772152,"Lgals3"
"ENSMUSG00000007892",33905.9014680267,0.238232486434365,0.160493364191381,1.48437592815541,0.137709217194181,0.36413909899001,"Rplp1"
"ENSMUSG00000021749",33527.6256579625,0.0285664877508064,0.219895149996654,0.12990958532392,0.896637960566555,0.957965089785368,"Fam3d"
"ENSMUSG00000045394",33823.9756989523,0.242555005780179,0.212377839295773,1.14209188013434,0.253415830242532,0.516429217457192,"Epcam"
"ENSMUSG00000033161",32887.7451369847,-0.0918080024331438,0.20887886923598,-0.439527477187864,0.660279376873877,0.837480222471309,"Atp1a1"
"ENSMUSG00000031328",30894.0876054433,0.233259606683504,0.574643759821359,0.405920368396618,0.684801111593777,0.851516184412356,"Flna"
"ENSMUSG00000063229",31980.451063037,0.638459750767786,0.215197500019201,2.96685486918212,0.00300862938936976,0.0304796312471637,"Ldha"
"ENSMUSG00000001025",31765.7571038102,0.749351621854432,0.224032331015341,3.34483696374663,0.000823309516050526,0.0120015027800717,"S100a6"
"ENSMUSG00000074272",31833.8225275894,0.524080206987194,0.233768268167778,2.24187915278157,0.0249691837448061,0.128084288947621,"Ceacam1"
"ENSMUSG00000030762",31028.4193298121,0.75116277211167,0.333775784909828,2.25050110305217,0.0244171535642775,0.126241737586549,"Aqp8"
"ENSMUSG00000032366",29874.9590785698,-0.0207248706295456,0.533028591745074,-0.0388813488629095,0.96898498677497,0.987747549047529,"Tpm1"
"ENSMUSG00000032294",30565.5976531173,0.515275926060148,0.156338126532715,3.29590700290452,0.000981044844450173,0.0137151225124349,"Pkm"
"ENSMUSG00000025393",29808.8661424533,-0.231391667672993,0.149938610691429,-1.54324270850551,0.122771898475495,0.339918986810162,"Atp5b"
"ENSMUSG00000001349",28423.9766075276,0.0461643303643991,0.747538141168913,0.0617551504358195,0.950757820043477,0.979867391212497,"Cnn1"
"ENSMUSG00000028699",29043.5005220768,0.0623614410323885,0.253552080065365,0.245951210561207,0.805720000816479,0.915663463082487,"Tspan1"
"ENSMUSG00000028255",28027.6167114135,-1.22375449439361,0.594518180349606,-2.0583970933807,0.0395520305341491,0.171987013213656,"Clca1"
"ENSMUSG00000073411",28313.1550271889,0.852253378400434,0.197364923251776,4.31816031115735,1.57335138379808e-05,0.000619711120776071,"H2-D1"
"ENSMUSG00000093674",27816.7760170013,0.261770154083333,0.177765314698056,1.4725603503021,0.140869622700021,0.368477512670142,"Rpl41"
"ENSMUSG00000028081",26830.7217255232,0.162766194696109,0.139785499031245,1.16439971115836,0.244262064600644,0.506102223493363,"Rps3a1"
"ENSMUSG00000015932",27164.7408408,0.552398996769589,0.195803746107411,2.82118706996832,0.00478462926803106,0.0420927648997079,"Dstn"
"ENSMUSG00000067818",26152.3960983855,-0.0426837790887612,0.668844438280196,-0.0638171997041858,0.949115782791395,0.979005455168831,"Myl9"
"ENSMUSG00000049775",26261.9971004646,0.764327781684454,0.260592466011873,2.93303867675756,0.00335662074427376,0.0330183651969105,"Tmsb4x"
"ENSMUSG00000064337",25059.3526638307,0.00486378909331253,0.811763919171266,0.00599163005209445,0.995219399491041,0.998480172242108,"mt-Rnr1"
"ENSMUSG00000028464",25493.3798419935,0.0763364858113665,0.680544240267137,0.112169762514487,0.910688803851792,0.964586583003538,"Tpm2"
"ENSMUSG00000034427",25819.8223600529,0.869393685335617,0.20754363148358,4.18896826234055,2.80225583610893e-05,0.000956849407347628,"Myo15b"
"ENSMUSG00000031818",25468.0196910317,0.353207010072291,0.1936883246267,1.82358441456414,0.0682149245605243,0.239692826722479,"Cox4i1"
"ENSMUSG00000048992",25384.5779526884,0.345848264208611,0.215671786573453,1.60358603090082,0.10880533189601,0.317599819502729,"Prss32"
"ENSMUSG00000028367",25575.6337187953,0.720037366441065,0.232449204873868,3.09761165598211,0.00195086889694715,0.0222179040243201,"Txn1"
"ENSMUSG00000025428",25186.1131370605,0.00149605050112482,0.172011744584445,0.00869737415162585,0.993060586932863,0.997473956029861,"Atp5a1"
"ENSMUSG00000023010",25244.9957325864,0.43178442723844,0.188592037610183,2.28951568003593,0.0220494079223352,0.117870578885459,"Tmbim6"
"ENSMUSG00000000740",24668.5801626389,-0.0867946963873633,0.139789922872105,-0.620893799811108,0.534669500908528,0.757628039614002,"Rpl13"
"ENSMUSG00000025207",24888.6702564399,-0.272445760724119,0.266914450046122,-1.02072315933829,0.307385618863831,0.572477215543662,"Sema4g"
"ENSMUSG00000032399",24199.3376221161,-0.331945013448282,0.123963625154471,-2.67776142424557,0.0074115989139247,0.0572595064845983,"Rpl4"
"ENSMUSG00000044533",24223.9840153255,-0.0837515890725283,0.14002126427372,-0.598134786933554,0.549750000382059,0.767473351116328,"Rps2"
"ENSMUSG00000029322",24819.1218876255,1.36539787069879,0.266948021866823,5.1148454337675,3.13997968630086e-07,2.54143781084894e-05,"Plac8"
"ENSMUSG00000045128",23951.7507784356,-0.0399039950647961,0.138304168565072,-0.288523444223022,0.772946087274133,0.8991734233939,"Rpl18a"
"ENSMUSG00000041697",23914.2292470635,0.448150797251052,0.184782685566688,2.42528565853815,0.015296345399835,0.0933165544395464,"Cox6a1"
"ENSMUSG00000074207",23319.2329239879,-0.651989674981835,0.300000918262206,-2.17329226443228,0.0297583273334741,0.1436465406626,"Adh1"
"ENSMUSG00000025497",23517.0047629687,0.316646790037121,0.214191663496981,1.47833386634855,0.139318437228402,0.366596725773173,"Cdhr5"
"ENSMUSG00000006333",23200.0963737047,0.0269180465370685,0.131713087627485,0.204368806638251,0.838065304439504,0.930992966927091,"Rps9"
"ENSMUSG00000068874",22822.9682087923,-1.07424237020693,0.387048093190334,-2.77547516473273,0.00551211090435698,0.0462427863540509,"Selenbp1"
"ENSMUSG00000015656",22314.8108524862,0.0167464599178962,0.110421466561062,0.151659459337425,0.879455533976482,0.949409550820812,"Hspa8"
"ENSMUSG00000095079",21222.7001815695,-0.740672509866488,0.74470645709957,-0.994583171403142,0.319939035621265,0.585534063094039,"Igha"
"ENSMUSG00000061904",22347.6462224915,0.136911707320944,0.145354340401411,0.941916883547118,0.346235195383271,0.608298647450621,"Slc25a3"
